ts_wall,ts_mono,experiment_id,client_id,device,cuda_device_name,num_workers,round,phase,description,measurement_scope,note,loss,accuracy,precision,recall,f1_score,parameter_load_duration_s,parameter_serialize_duration_s,src_ip,dst_ip,server_host,server_port,weight_hash,selected_for_round,upload_success,num_examples,exception,phase_start,phase_end,phase_duration_s,fit_duration_s,train_duration_s,evaluation_duration_s,local_epochs,learning_rate,client_fit_start_time_s,client_fit_end_time_s,client_ready_time_s,hash_duration_s,upload_duration_s,grpc_error_count,retry_count,disconnect_count
2026-07-23T02:56:04.931,703332.6824376,exp_20260722_225305,4,cpu,,0,1,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.002449512481689453,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775364.9287536,1784775364.9312031,0.002449512481689453,,,,,,,,,,,0,0,0
2026-07-23T02:56:06.090,703333.8417417,exp_20260722_225305,4,cpu,,0,1,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.061344623565674,0.21,0.12895104895104895,0.19952380952380952,0.15582442067736185,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775364.932021,1784775366.0905745,1.1585536003112793,1.1585536003112793,1.090623140335083,0.0457911491394043,1,0.00099,1784775364.932021,1784775366.0905745,,,,0,0,0
2026-07-23T02:56:06.097,703333.8482953,exp_20260722_225305,4,cpu,,0,1,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0007464885711669922,127.0.0.1,10.42.0.195,10.42.0.195,8080,560cbde86509f989a0d77ba9242e839625c508ba1fa73c7bcb1e00a8cd98e5e7,1,1,,,1784775366.0911021,1784775366.0918486,0.0007464885711669922,,,,1,0.00099,1784775364.932021,1784775366.0905745,1784775366.097141,0.005290985107421875,0.0007464885711669922,0,0,0
2026-07-23T02:56:16.028,703343.7792534,exp_20260722_225305,4,cpu,,0,2,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0011868476867675781,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775376.0269947,1784775376.0281816,0.0011868476867675781,,,,,,,,,,,0,0,0
2026-07-23T02:56:17.130,703344.8816983,exp_20260722_225305,4,cpu,,0,2,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.0230066776275635,0.19,0.16205128205128203,0.21634310134310133,0.151251319438576,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775376.028922,1784775377.1306694,1.1017472743988037,1.1017472743988037,1.0472874641418457,0.03989005088806152,1,0.0009801,1784775376.028922,1784775377.1306694,,,,0,0,0
2026-07-23T02:56:17.137,703344.8889948,exp_20260722_225305,4,cpu,,0,2,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009860992431640625,127.0.0.1,10.42.0.195,10.42.0.195,8080,4c0c75ee7228fe79299d81dbed6e5e4af6ff59c2489b3f5a3eef7f425491c8eb,1,1,,,1784775377.1311803,1784775377.1321664,0.0009860992431640625,,,,1,0.0009801,1784775376.028922,1784775377.1306694,1784775377.13796,0.005792379379272461,0.0009860992431640625,0,0,0
2026-07-23T02:56:25.064,703352.8157895,exp_20260722_225305,4,cpu,,0,3,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001186370849609375,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775385.063629,1784775385.0648153,0.001186370849609375,,,,,,,,,,,0,0,0
2026-07-23T02:56:26.204,703353.9553819,exp_20260722_225305,4,cpu,,0,3,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",2.028318405151367,0.24,0.2588675213675214,0.23603174603174604,0.2072239392948775,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775385.06554,1784775386.204457,1.1389169692993164,1.1389169692993164,1.0808160305023193,0.041491031646728516,1,0.0009702990000000001,1784775385.06554,1784775386.204457,,,,0,0,0
2026-07-23T02:56:26.215,703353.9715449,exp_20260722_225305,4,cpu,,0,3,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009706020355224609,127.0.0.1,10.42.0.195,10.42.0.195,8080,642a94593616cd4820d7222323ebd371b8020945fff70dd6ac4f67b7684bf902,1,1,,,1784775386.2049937,1784775386.2059643,0.0009706020355224609,,,,1,0.0009702990000000001,1784775385.06554,1784775386.204457,1784775386.2151613,0.009196281433105469,0.0009706020355224609,0,0,0
2026-07-23T02:56:34.395,703362.1458981,exp_20260722_225305,4,cpu,,0,4,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001415252685546875,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775394.3936162,1784775394.3950315,0.001415252685546875,,,,,,,,,,,0,0,0
2026-07-23T02:56:35.730,703363.4812717,exp_20260722_225305,4,cpu,,0,4,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.951753854751587,0.17,0.13948514448514449,0.1875396825396825,0.13678523252052666,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775394.3957531,1784775395.7304635,1.3347103595733643,1.3347103595733643,1.2591040134429932,0.05479836463928223,1,0.0009605960099999999,1784775394.3957531,1784775395.7304635,,,,0,0,0
2026-07-23T02:56:35.739,703363.4907279,exp_20260722_225305,4,cpu,,0,4,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.003123760223388672,127.0.0.1,10.42.0.195,10.42.0.195,8080,206ee2a4a0b0f5884eaf6c57b10147b01a843643cf4926f9cef4e40bbcd28ee5,1,1,,,1784775395.7310226,1784775395.7341464,0.003123760223388672,,,,1,0.0009605960099999999,1784775394.3957531,1784775395.7304635,1784775395.7399104,0.005754947662353516,0.003123760223388672,0,0,0
2026-07-23T02:56:43.984,703371.7352753,exp_20260722_225305,4,cpu,,0,5,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012049674987792969,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775403.9833183,1784775403.9845233,0.0012049674987792969,,,,,,,,,,,0,0,0
2026-07-23T02:56:45.089,703372.8400441,exp_20260722_225305,4,cpu,,0,5,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.9498590230941772,0.24,0.19143882433356119,0.24992063492063493,0.19760370275487857,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775403.9851935,1784775405.0893483,1.1041548252105713,1.1041548252105713,1.0465571880340576,0.04370880126953125,1,0.0009509900498999999,1784775403.9851935,1784775405.0893483,,,,0,0,0
2026-07-23T02:56:45.098,703372.8487394,exp_20260722_225305,4,cpu,,0,5,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008378028869628906,127.0.0.1,10.42.0.195,10.42.0.195,8080,c70c498b4e4506d56f2f2fd590b151d4cf6ec05b9fa5323fa4681c93273efeb6,1,1,,,1784775405.0900686,1784775405.0909064,0.0008378028869628906,,,,1,0.0009509900498999999,1784775403.9851935,1784775405.0893483,1784775405.0980444,0.0071375370025634766,0.0008378028869628906,0,0,0
2026-07-23T02:56:52.715,703380.4659987,exp_20260722_225305,4,cpu,,0,6,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012290477752685547,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775412.7141252,1784775412.7153542,0.0012290477752685547,,,,,,,,,,,0,0,0
2026-07-23T02:56:53.870,703381.621514,exp_20260722_225305,4,cpu,,0,6,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8987457752227783,0.22,0.20829882677708764,0.23642857142857143,0.2018430546062125,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775412.7160282,1784775413.8709128,1.1548845767974854,1.1548845767974854,1.0915615558624268,0.04600882530212402,1,0.000941480149401,1784775412.7160282,1784775413.8709128,,,,0,0,0
2026-07-23T02:56:53.880,703381.6307634,exp_20260722_225305,4,cpu,,0,6,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0010137557983398438,127.0.0.1,10.42.0.195,10.42.0.195,8080,c15cda54a7cac6e760f1a87a734686287058aa0cb9c059c5b297feaa6404da2a,1,1,,,1784775413.8716183,1784775413.872632,0.0010137557983398438,,,,1,0.000941480149401,1784775412.7160282,1784775413.8709128,1784775413.8801618,0.007528781890869141,0.0010137557983398438,0,0,0
2026-07-23T02:57:01.377,703389.1279328,exp_20260722_225305,4,cpu,,0,7,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001191854476928711,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775421.3762028,1784775421.3773947,0.001191854476928711,,,,,,,,,,,0,0,0
2026-07-23T02:57:02.531,703390.2816573,exp_20260722_225305,4,cpu,,0,7,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.8675837516784668,0.29,0.2359059829059829,0.2894200244200244,0.22046158213141132,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775421.3780396,1784775422.5311716,1.1531319618225098,1.1531319618225098,1.095090627670288,0.04403352737426758,1,0.0009320653479069899,1784775421.3780396,1784775422.5311716,,,,0,0,0
2026-07-23T02:57:02.540,703390.2906214,exp_20260722_225305,4,cpu,,0,7,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008425712585449219,127.0.0.1,10.42.0.195,10.42.0.195,8080,9fc81a6b55f8b074302f791b7bb18ec73a1e8f4f7949a0cb164ae372c2599e58,1,1,,,1784775422.5317392,1784775422.5325818,0.0008425712585449219,,,,1,0.0009320653479069899,1784775421.3780396,1784775422.5311716,1784775422.5401285,0.007545948028564453,0.0008425712585449219,0,0,0
2026-07-23T02:57:10.829,703398.5793889,exp_20260722_225305,4,cpu,,0,8,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012307167053222656,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775430.8277392,1784775430.82897,0.0012307167053222656,,,,,,,,,,,0,0,0
2026-07-23T02:57:11.989,703399.7395733,exp_20260722_225305,4,cpu,,0,8,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7316207885742188,0.32,0.37042038027332147,0.32824786324786326,0.30270912008528106,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775430.829641,1784775431.9891899,1.1595487594604492,1.1595487594604492,1.1023304462432861,0.04297661781311035,1,0.0009227446944279201,1784775430.829641,1784775431.9891899,,,,0,0,0
2026-07-23T02:57:11.998,703399.7490941,exp_20260722_225305,4,cpu,,0,8,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0011076927185058594,127.0.0.1,10.42.0.195,10.42.0.195,8080,a2c5f51d84a5c3c98e229ae21c37b4c97d342184c043a5b98d6a8c2eb47cfcaa,1,1,,,1784775431.9899743,1784775431.991082,0.0011076927185058594,,,,1,0.0009227446944279201,1784775430.829641,1784775431.9891899,1784775431.9987135,0.007630586624145508,0.0011076927185058594,0,0,0
2026-07-23T02:57:19.395,703407.1457215,exp_20260722_225305,4,cpu,,0,9,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012826919555664062,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775439.3941023,1784775439.395385,0.0012826919555664062,,,,,,,,,,,0,0,0
2026-07-23T02:57:20.502,703408.2526677,exp_20260722_225305,4,cpu,,0,9,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7474102973937988,0.27,0.33584967320261444,0.2467399267399267,0.22558323513431872,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775439.3961453,1784775440.502386,1.1062407493591309,1.1062407493591309,1.0471370220184326,0.04420781135559082,1,0.0009135172474836409,1784775439.3961453,1784775440.502386,,,,0,0,0
2026-07-23T02:57:20.511,703408.261914,exp_20260722_225305,4,cpu,,0,9,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008974075317382812,127.0.0.1,10.42.0.195,10.42.0.195,8080,7ad07b2031d3d0dd89a7a8c764681b6f77fa0b61dfbe5bb66f1cb4819b27d889,1,1,,,1784775440.503138,1784775440.5040355,0.0008974075317382812,,,,1,0.0009135172474836409,1784775439.3961453,1784775440.502386,1784775440.5116289,0.007592439651489258,0.0008974075317382812,0,0,0
2026-07-23T02:57:27.658,703415.4084534,exp_20260722_225305,4,cpu,,0,10,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.001317739486694336,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775447.656903,1784775447.6582208,0.001317739486694336,,,,,,,,,,,0,0,0
2026-07-23T02:57:28.751,703416.5014684,exp_20260722_225305,4,cpu,,0,10,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.789908766746521,0.3,0.3350703463203463,0.3005433455433455,0.25436967418546363,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775447.6589043,1784775448.751275,1.0923707485198975,1.0923707485198975,1.0384738445281982,0.03979325294494629,1,0.0009043820750088044,1784775447.6589043,1784775448.751275,,,,0,0,0
2026-07-23T02:57:28.760,703416.510559,exp_20260722_225305,4,cpu,,0,10,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009183883666992188,127.0.0.1,10.42.0.195,10.42.0.195,8080,7191f2819fd9de61f01d143cad8d176715c86893d5566c8de13ae55669b3173f,1,1,,,1784775448.751979,1784775448.7528975,0.0009183883666992188,,,,1,0.0009043820750088044,1784775447.6589043,1784775448.751275,1784775448.7603827,0.00748443603515625,0.0009183883666992188,0,0,0
2026-07-23T02:57:36.240,703423.9907932,exp_20260722_225305,4,cpu,,0,11,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012822151184082031,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775456.2393773,1784775456.2406595,0.0012822151184082031,,,,,,,,,,,0,0,0
2026-07-23T02:57:37.329,703425.0796189,exp_20260722_225305,4,cpu,,0,11,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.778082013130188,0.34,0.3384706959706959,0.3444322344322344,0.2828905389531575,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775456.2414014,1784775457.3295465,1.0881450176239014,1.0881450176239014,1.0348272323608398,0.03795337677001953,1,0.0008953382542587164,1784775456.2414014,1784775457.3295465,,,,0,0,0
2026-07-23T02:57:37.338,703425.0886773,exp_20260722_225305,4,cpu,,0,11,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009975433349609375,127.0.0.1,10.42.0.195,10.42.0.195,8080,a83edfc0837247b4782dea88ffe86e656bcc3c50c1f013acafb9e4de782ba5e8,1,1,,,1784775457.3300993,1784775457.331097,0.0009975433349609375,,,,1,0.0008953382542587164,1784775456.2414014,1784775457.3295465,1784775457.3385956,0.007497549057006836,0.0009975433349609375,0,0,0
2026-07-23T02:57:44.695,703432.4454183,exp_20260722_225305,4,cpu,,0,12,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012946128845214844,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775464.6940863,1784775464.695381,0.0012946128845214844,,,,,,,,,,,0,0,0
2026-07-23T02:57:45.834,703433.5845591,exp_20260722_225305,4,cpu,,0,12,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.691329836845398,0.41,0.4453869693524865,0.36846764346764344,0.35363123314411105,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775464.6961572,1784775465.8345876,1.1384303569793701,1.1384303569793701,1.0820255279541016,0.042520761489868164,1,0.0008863848717161292,1784775464.6961572,1784775465.8345876,,,,0,0,0
2026-07-23T02:57:45.843,703433.5935366,exp_20260722_225305,4,cpu,,0,12,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009844303131103516,127.0.0.1,10.42.0.195,10.42.0.195,8080,a15e7aac928ea9aba770431b6942d3a4e6834733ef9f19c1744e73ef3c6d321d,1,1,,,1784775465.8351495,1784775465.836134,0.0009844303131103516,,,,1,0.0008863848717161292,1784775464.6961572,1784775465.8345876,1784775465.8435647,0.007429838180541992,0.0009844303131103516,0,0,0
2026-07-23T02:57:53.554,703441.3044037,exp_20260722_225305,4,cpu,,0,13,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012249946594238281,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775473.5532322,1784775473.5544572,0.0012249946594238281,,,,,,,,,,,0,0,0
2026-07-23T02:57:54.673,703442.4234989,exp_20260722_225305,4,cpu,,0,13,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6947790384292603,0.39,0.38397619047619047,0.37337606837606835,0.3543101944753943,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775473.5553033,1784775474.6736372,1.1183338165283203,1.1183338165283203,1.0590705871582031,0.04328012466430664,1,0.0008775210229989679,1784775473.5553033,1784775474.6736372,,,,0,0,0
2026-07-23T02:57:54.680,703442.4308323,exp_20260722_225305,4,cpu,,0,13,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0008988380432128906,127.0.0.1,10.42.0.195,10.42.0.195,8080,5353a89c42f106f022635f1d0eb83e1e4eea585719ee2fcd1f05df388cc7da05,1,1,,,1784775474.6741805,1784775474.6750793,0.0008988380432128906,,,,1,0.0008775210229989679,1784775473.5553033,1784775474.6736372,1784775474.6809547,0.0058743953704833984,0.0008988380432128906,0,0,0
2026-07-23T02:58:02.035,703449.7855018,exp_20260722_225305,4,cpu,,0,14,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012443065643310547,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775482.0344317,1784775482.035676,0.0012443065643310547,,,,,,,,,,,0,0,0
2026-07-23T02:58:03.172,703450.9223133,exp_20260722_225305,4,cpu,,0,14,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6675934791564941,0.43,0.4343330362448009,0.42837606837606834,0.42406571206571203,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775482.0364897,1784775483.172553,1.1360633373260498,1.1360633373260498,1.0750970840454102,0.046523094177246094,1,0.0008687458127689783,1784775482.0364897,1784775483.172553,,,,0,0,0
2026-07-23T02:58:03.180,703450.9297455,exp_20260722_225305,4,cpu,,0,14,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009632110595703125,127.0.0.1,10.42.0.195,10.42.0.195,8080,6217b96766f7423044e0ca871fd78850d085e29b88e7350b8278dc0e40cf5de7,1,1,,,1784775483.1731331,1784775483.1740963,0.0009632110595703125,,,,1,0.0008687458127689783,1784775482.0364897,1784775483.172553,1784775483.1799858,0.005888700485229492,0.0009632110595703125,0,0,0
2026-07-23T02:58:10.716,703458.4662195,exp_20260722_225305,4,cpu,,0,15,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0010614395141601562,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775490.715463,1784775490.7165244,0.0010614395141601562,,,,,,,,,,,0,0,0
2026-07-23T02:58:11.815,703459.5646729,exp_20260722_225305,4,cpu,,0,15,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.7331715822219849,0.33,0.42053221288515397,0.31601343101343105,0.2897241017076858,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775490.7172163,1784775491.815019,1.0978026390075684,1.0978026390075684,1.0447502136230469,0.03833365440368652,1,0.0008600583546412885,1784775490.7172163,1784775491.815019,,,,0,0,0
2026-07-23T02:58:11.822,703459.5721303,exp_20260722_225305,4,cpu,,0,15,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.00096893310546875,127.0.0.1,10.42.0.195,10.42.0.195,8080,61753f45b22465a72797a17c66ccc5dc2bcd8721ab2e4e994a97fe5edde2b224,1,1,,,1784775491.815566,1784775491.816535,0.00096893310546875,,,,1,0.0008600583546412885,1784775490.7172163,1784775491.815019,1784775491.822474,0.005938529968261719,0.00096893310546875,0,0,0
2026-07-23T02:58:19.460,703467.2103338,exp_20260722_225305,4,cpu,,0,16,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0014345645904541016,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775499.45927,1784775499.4607046,0.0014345645904541016,,,,,,,,,,,0,0,0
2026-07-23T02:58:20.569,703468.3186651,exp_20260722_225305,4,cpu,,0,16,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6125622987747192,0.46,0.4227267177267177,0.4258424908424908,0.4065456708679215,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775499.4617403,1784775500.569118,1.1073777675628662,1.1073777675628662,1.0471446514129639,0.043341875076293945,1,0.0008514577710948756,1784775499.4617403,1784775500.569118,,,,0,0,0
2026-07-23T02:58:20.578,703468.3279178,exp_20260722_225305,4,cpu,,0,16,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009624958038330078,127.0.0.1,10.42.0.195,10.42.0.195,8080,ea73bd6fa5824d3cd6ab6c0c46bbad42a78a92c77af539a441ed34c6c22e7f2a,1,1,,,1784775500.5696688,1784775500.5706313,0.0009624958038330078,,,,1,0.0008514577710948756,1784775499.4617403,1784775500.569118,1784775500.5783494,0.0077173709869384766,0.0009624958038330078,0,0,0
2026-07-23T02:58:28.169,703475.9193587,exp_20260722_225305,4,cpu,,0,17,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0012290477752685547,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775508.1686301,1784775508.1698592,0.0012290477752685547,,,,,,,,,,,0,0,0
2026-07-23T02:58:29.284,703477.0339362,exp_20260722_225305,4,cpu,,0,17,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6681004762649536,0.36,0.35799562226391496,0.2974420024420025,0.28269166261373846,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775508.17056,1784775509.2844787,1.1139187812805176,1.1139187812805176,1.0536754131317139,0.04471778869628906,1,0.0008429431933839268,1784775508.17056,1784775509.2844787,,,,0,0,0
2026-07-23T02:58:29.293,703477.0432759,exp_20260722_225305,4,cpu,,0,17,upload,Serialize updated parameters for return to the server.,client_parameter_serialization_window,This row records client side parameter serialisation immediately before the update is returned to Flower.,,,,,,,0.0009355545043945312,127.0.0.1,10.42.0.195,10.42.0.195,8080,00aad206b6e9df7862fcf8dcdffc64a339e06902b7eaa7df57b4b43099efcfbf,1,1,,,1784775509.285198,1784775509.2861335,0.0009355545043945312,,,,1,0.0008429431933839268,1784775508.17056,1784775509.2844787,1784775509.2938247,0.0076901912689208984,0.0009355545043945312,0,0,0
2026-07-23T02:58:36.762,703484.5115199,exp_20260722_225305,4,cpu,,0,18,download,Receive global model and load parameters into the local model.,client_parameter_load_window,"This row records client side parameter loading. In Flower, the model payload is already available to the client before fit starts.",,,,,,0.0011870861053466797,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,,,1784775516.76094,1784775516.7621272,0.0011870861053466797,,,,,,,,,,,0,0,0
2026-07-23T02:58:37.943,703485.6932374,exp_20260722_225305,4,cpu,,0,18,train,Train the local model and compute evaluation metrics on the client test set.,client_training_plus_evaluation_window,"This row records the full train window, beginning immediately before local training starts and ending immediately after test metrics are computed.",1.6392101049423218,0.41,0.36985569985569977,0.3951282051282051,0.3758292610008857,,,127.0.0.1,10.42.0.195,10.42.0.195,8080,,1,,100,,1784775516.762804,1784775517.9438937,1.1810896396636963,1.1810896396636963,1.1105289459228516,0.05529046058654785,1,0.0008345137614500875,1784775516.762804,1784775517.9438937,,,,0,0,0
